task,model_name,capacity_name,dataset_size,resolution_train,resolution_eval,n_runs,n_data_seeds,n_train_seeds,n_seed_pairs
burgers_operator,deeponet,large,50,32,64,4,2,2,4
burgers_operator,deeponet,large,50,32,128,4,2,2,4
burgers_operator,deeponet,large,50,32,256,4,2,2,4
burgers_operator,deeponet,large,50,32,512,4,2,2,4
burgers_operator,deeponet,large,50,64,32,4,2,2,4
burgers_operator,deeponet,large,50,64,128,4,2,2,4
burgers_operator,deeponet,large,50,64,256,4,2,2,4
burgers_operator,deeponet,large,50,64,512,4,2,2,4
burgers_operator,deeponet,large,50,128,32,4,2,2,4
burgers_operator,deeponet,large,50,128,64,4,2,2,4
burgers_operator,deeponet,large,50,128,256,4,2,2,4
burgers_operator,deeponet,large,50,128,512,4,2,2,4
burgers_operator,deeponet,large,50,256,32,4,2,2,4
burgers_operator,deeponet,large,50,256,64,4,2,2,4
burgers_operator,deeponet,large,50,256,128,4,2,2,4
burgers_operator,deeponet,large,50,256,512,4,2,2,4
burgers_operator,deeponet,large,100,32,64,4,2,2,4
burgers_operator,deeponet,large,100,32,128,4,2,2,4
burgers_operator,deeponet,large,100,32,256,4,2,2,4
burgers_operator,deeponet,large,100,32,512,4,2,2,4
burgers_operator,deeponet,large,100,64,32,4,2,2,4
burgers_operator,deeponet,large,100,64,128,4,2,2,4
burgers_operator,deeponet,large,100,64,256,4,2,2,4
burgers_operator,deeponet,large,100,64,512,4,2,2,4
burgers_operator,deeponet,large,100,128,32,4,2,2,4
burgers_operator,deeponet,large,100,128,64,4,2,2,4
burgers_operator,deeponet,large,100,128,256,4,2,2,4
burgers_operator,deeponet,large,100,128,512,4,2,2,4
burgers_operator,deeponet,large,100,256,32,4,2,2,4
burgers_operator,deeponet,large,100,256,64,4,2,2,4
burgers_operator,deeponet,large,100,256,128,4,2,2,4
burgers_operator,deeponet,large,100,256,512,4,2,2,4
burgers_operator,deeponet,large,500,32,64,4,2,2,4
burgers_operator,deeponet,large,500,32,128,4,2,2,4
burgers_operator,deeponet,large,500,32,256,4,2,2,4
burgers_operator,deeponet,large,500,32,512,4,2,2,4
burgers_operator,deeponet,large,500,64,32,4,2,2,4
burgers_operator,deeponet,large,500,64,128,4,2,2,4
burgers_operator,deeponet,large,500,64,256,4,2,2,4
burgers_operator,deeponet,large,500,64,512,4,2,2,4
burgers_operator,deeponet,large,500,128,32,4,2,2,4
burgers_operator,deeponet,large,500,128,64,4,2,2,4
burgers_operator,deeponet,large,500,128,256,4,2,2,4
burgers_operator,deeponet,large,500,128,512,4,2,2,4
burgers_operator,deeponet,large,500,256,32,4,2,2,4
burgers_operator,deeponet,large,500,256,64,4,2,2,4
burgers_operator,deeponet,large,500,256,128,4,2,2,4
burgers_operator,deeponet,large,500,256,512,4,2,2,4
burgers_operator,deeponet,large,1000,32,64,4,2,2,4
burgers_operator,deeponet,large,1000,32,128,4,2,2,4
burgers_operator,deeponet,large,1000,32,256,4,2,2,4
burgers_operator,deeponet,large,1000,32,512,4,2,2,4
burgers_operator,deeponet,large,1000,64,32,4,2,2,4
burgers_operator,deeponet,large,1000,64,128,4,2,2,4
burgers_operator,deeponet,large,1000,64,256,4,2,2,4
burgers_operator,deeponet,large,1000,64,512,4,2,2,4
burgers_operator,deeponet,large,1000,128,32,4,2,2,4
burgers_operator,deeponet,large,1000,128,64,4,2,2,4
burgers_operator,deeponet,large,1000,128,256,4,2,2,4
burgers_operator,deeponet,large,1000,128,512,4,2,2,4
burgers_operator,deeponet,large,1000,256,32,4,2,2,4
burgers_operator,deeponet,large,1000,256,64,4,2,2,4
burgers_operator,deeponet,large,1000,256,128,4,2,2,4
