task,model_name,capacity_name,dataset_size,resolution,parameter_count,n_runs,n_success,convergence_rate,divergence_rate,instability_rate,seed_cv_test_rel_l2,median_test_rel_l2,s_n,s_r,s_c,is_r48,regime
burgers_operator,deeponet,large,50,16,268033,6,6,1.0,0.0,0.0,0.0326780720418103,0.6469058990478516,-0.13032486649007594,-0.11824104700585428,-0.038187145900232915,False,mixed
burgers_operator,deeponet,large,50,32,272129,6,6,1.0,0.0,0.0,0.0206629476586844,0.5960010290145874,-0.10832365822450521,-0.19159720193690835,-0.04322717537157149,False,mixed
burgers_operator,deeponet,large,50,48,276225,6,6,1.0,0.0,0.0,,,,,,True,data_bug_r48
burgers_operator,deeponet,large,50,64,280321,6,6,1.0,0.0,0.0,0.0680630252959503,0.4960073381662369,-0.1198902169434337,-0.21617038831615798,-0.09967139378863799,False,mixed
burgers_operator,deeponet,large,50,96,288513,6,6,1.0,0.0,0.0,0.0498046166612976,0.4700104594230652,-0.14909545667148208,-0.1509260242422113,-0.09451543989715358,False,mixed
burgers_operator,deeponet,large,50,128,296705,6,6,1.0,0.0,0.0,0.0791812787923664,0.4467400014400482,-0.19084223709739778,-0.1333060617468681,-0.13162483651783957,False,mixed
burgers_operator,deeponet,large,50,192,313089,6,6,1.0,0.0,0.0,0.0389689972285184,0.4285272061824798,-0.14582978589482998,-0.031760767797330454,-0.10000705760374556,False,mixed
burgers_operator,deeponet,large,50,256,329473,6,6,1.0,0.0,0.0,0.0608007679120791,0.4370125383138656,-0.2040254841124924,0.03169948178018632,-0.09703329281455357,False,mixed
burgers_operator,deeponet,large,50,384,362241,6,6,1.0,0.0,0.0,0.0531682856190256,0.4380471855401993,-0.19182827629585456,0.04476639902352308,-0.1296945470606285,False,mixed
burgers_operator,deeponet,large,50,512,395009,6,6,1.0,0.0,0.0,0.0294300674901027,0.4507854878902435,-0.2151473413544989,0.09964109123151206,-0.16948420048398052,False,mixed
burgers_operator,deeponet,large,100,16,268033,6,6,1.0,0.0,0.0,0.1209090071175289,0.5910298526287079,-0.13032486649007594,-0.09623983874028355,-0.23194136000447954,False,capacity_limited
burgers_operator,deeponet,large,100,32,272129,6,6,1.0,0.0,0.0,0.0194685677633496,0.552889496088028,-0.08537180056087972,-0.18637987716358723,-0.027885456454122916,False,mixed
burgers_operator,deeponet,large,100,48,276225,6,2,0.3333333333333333,0.6666666666666666,0.6666666666666666,,,,,,True,data_bug_r48
burgers_operator,deeponet,large,100,64,280321,6,6,1.0,0.0,0.0,0.0465973985086737,0.4564545601606369,-0.12633509853021324,-0.2418945290629742,-0.0593391230245969,False,resolution_sensitive
burgers_operator,deeponet,large,100,96,288513,6,6,1.0,0.0,0.0,0.0446947426638585,0.4238628149032593,-0.14909545667148208,-0.22187804439617537,-0.08545217720850119,False,mixed
burgers_operator,deeponet,large,100,128,296705,6,6,1.0,0.0,0.0,0.0478908799870736,0.3913862854242325,-0.17044283595577836,-0.13004039097021602,-0.1253083517531178,False,mixed
burgers_operator,deeponet,large,100,192,313089,6,6,1.0,0.0,0.0,0.0641562405250891,0.3873283267021179,-0.14582978589482998,-0.04494401481242505,-0.11787099015761343,False,mixed
burgers_operator,deeponet,large,100,256,329473,6,6,1.0,0.0,0.0,0.0325075789631378,0.379381462931633,-0.18343327624204292,-0.014299008620838211,-0.1135021577845765,False,mixed
burgers_operator,deeponet,large,100,384,362241,6,6,1.0,0.0,0.0,0.0350150871459364,0.3835083544254303,-0.19182827629585456,0.03364454178151659,-0.1335085283794791,False,mixed
burgers_operator,deeponet,large,100,512,395009,6,6,1.0,0.0,0.0,0.0222050992086887,0.3883328437805176,-0.2151473413544989,0.04345564991798538,-0.14791627279098202,False,mixed
burgers_operator,deeponet,large,150,32,272129,6,6,1.0,0.0,0.0,0.0292510028354647,0.542643129825592,-0.07506499679720012,-0.3298786480552232,-0.025059118367053896,False,resolution_sensitive
burgers_operator,deeponet,large,150,64,280321,6,6,1.0,0.0,0.0,0.0479293394600131,0.431728720664978,-0.1240752831159092,-0.3298786480552232,-0.07121904633447723,False,resolution_sensitive
burgers_operator,deeponet,large,150,128,296705,6,6,1.0,0.0,0.0,0.037706346432677,0.3704528510570525,-0.15675658842892456,,-0.14228267876139716,False,ambiguous
burgers_operator,deeponet,large,150,256,329473,6,6,1.0,0.0,0.0,0.03540239099144,0.3572514355182647,-0.17656141863195032,,-0.1628607880291961,False,ambiguous
burgers_operator,deeponet,large,200,16,268033,6,6,1.0,0.0,0.0,0.264740372384355,0.3712990581989288,,0.4993445107290055,-0.547514259467852,False,ambiguous
burgers_operator,deeponet,large,200,32,272129,6,6,1.0,0.0,0.0,0.0161437755193044,0.5248576402664185,-0.08133848505984792,0.08690715441170284,-0.0171524644024382,False,mixed
burgers_operator,deeponet,large,200,48,276225,6,0,0.0,1.0,1.0,,,,,,True,data_bug_r48
burgers_operator,deeponet,large,200,64,280321,6,6,1.0,0.0,0.0,0.0283501626732391,0.4188390523195267,-0.09219116247030158,-0.2929970639024687,-0.09131948622213568,False,resolution_sensitive
burgers_operator,deeponet,large,200,96,288513,6,6,1.0,0.0,0.0,0.0330001594308632,0.3804051578044891,,-0.25455934970919075,-0.12370842312134252,False,ambiguous
burgers_operator,deeponet,large,200,128,296705,6,6,1.0,0.0,0.0,0.0268953502921258,0.3510889559984207,-0.08590198594507693,-0.11859415560898823,-0.15693257458634916,False,mixed
burgers_operator,deeponet,large,200,192,313089,6,6,1.0,0.0,0.0,0.0534392924406647,0.3503853976726531,,-0.06474884501545079,-0.17708486551928562,False,ambiguous
burgers_operator,deeponet,large,200,256,329473,6,6,1.0,0.0,0.0,0.0506303053962982,0.3356802761554718,-0.11469132712600318,-0.015618975632218717,-0.1599501691539441,False,mixed
