task,model_name,capacity_name,dataset_size,resolution_train,resolution_eval,n_runs,n_success,median_test_rel_l2,iqr_test_rel_l2,seed_cv_test_rel_l2,worst_test_rel_l2,best_test_rel_l2,parent_convergence_rate,parent_converged,parent_median_test_rel_l2,degradation_vs_diagonal,is_r48_train
burgers_operator,deeponet,large,50,32,64,4,4,0.5277214348316193,0.007569208741188049,0.011334857668887272,0.5370189547538757,0.5241394639015198,1.0,True,0.5960010290145874,0.8854371203085675,False
burgers_operator,deeponet,large,50,32,128,4,4,0.4960998594760895,0.006457947194576263,0.012004136720116118,0.5059863328933716,0.4927498400211334,1.0,True,0.5960010290145874,0.8323808774228596,False
burgers_operator,deeponet,large,50,32,256,4,4,0.493630975484848,0.006037533283233698,0.011121966627186274,0.5029270052909851,0.490931749343872,1.0,True,0.5960010290145874,0.828238461770787,False
burgers_operator,deeponet,large,50,32,512,4,4,0.4950273633003235,0.0057375058531761725,0.010459981489770698,0.5038607120513916,0.4926435649394989,1.0,True,0.5960010290145874,0.830581390301941,False
burgers_operator,deeponet,large,50,64,32,4,4,0.5736172199249268,0.024521440267562866,0.04097572112102,0.6008171439170837,0.5450416207313538,1.0,True,0.4960073381662369,1.1564692208901937,False
burgers_operator,deeponet,large,50,64,128,4,4,0.4546002596616745,0.04528702050447464,0.08749273632219917,0.4992487132549286,0.4066148698329925,1.0,True,0.4960073381662369,0.9165192219581945,False
burgers_operator,deeponet,large,50,64,256,4,4,0.4492751359939575,0.04723911732435232,0.09141517779265754,0.4942333102226257,0.3989923298358917,1.0,True,0.4960073381662369,0.905783244366806,False
burgers_operator,deeponet,large,50,64,512,4,4,0.4496678560972214,0.047612942755222265,0.09180901104169743,0.4945056140422821,0.3988939821720123,1.0,True,0.4960073381662369,0.9065750070546641,False
burgers_operator,deeponet,large,50,128,32,4,4,0.5716135501861572,0.02322278916835785,0.0281787767834091,0.592534601688385,0.5586323738098145,1.0,True,0.4467400014400482,1.2795217539140982,False
burgers_operator,deeponet,large,50,128,64,4,4,0.49004532396793365,0.029600530862808228,0.04423570524439956,0.5205829739570618,0.47379931807518,1.0,True,0.4467400014400482,1.0969362993873226,False
burgers_operator,deeponet,large,50,128,256,4,4,0.44002468883991236,0.03773432970046997,0.06186933029014153,0.4777640402317047,0.4190602898597717,1.0,True,0.4467400014400482,0.984968186017618,False
burgers_operator,deeponet,large,50,128,512,4,4,0.43984927237033844,0.03790751099586481,0.062285513316441096,0.4777125120162964,0.4185372292995453,1.0,True,0.4467400014400482,0.9845755270459376,False
burgers_operator,deeponet,large,50,256,32,4,4,0.5670759677886963,0.016133666038513184,0.02741876932087608,0.5922367572784424,0.5566234588623047,1.0,True,0.43701253831386566,1.2976194458325085,False
burgers_operator,deeponet,large,50,256,64,4,4,0.4838506877422333,0.023896858096122797,0.04478888916299277,0.517720103263855,0.467968225479126,1.0,True,0.43701253831386566,1.1071780448430248,False
burgers_operator,deeponet,large,50,256,128,4,4,0.4387199580669403,0.030619345605373383,0.05878794201651966,0.4769794046878814,0.4180993437767029,1.0,True,0.43701253831386566,1.0039070269234436,False
burgers_operator,deeponet,large,50,256,512,4,4,0.43097294867038727,0.03336579352617258,0.0634582869881223,0.4704054892063141,0.4081750810146332,1.0,True,0.43701253831386566,0.9861798252590622,False
burgers_operator,deeponet,large,100,32,64,4,4,0.47598275542259216,0.004222854971885737,0.011695187940457603,0.4841566383838653,0.4707032740116119,1.0,True,0.552889496088028,0.8609003404666036,False
burgers_operator,deeponet,large,100,32,128,4,4,0.4369957596063614,0.003894545137882288,0.013342578713303514,0.4457681477069855,0.4316763579845428,1.0,True,0.552889496088028,0.7903853531281148,False
burgers_operator,deeponet,large,100,32,256,4,4,0.43365277349948883,0.0043200403451919,0.012255745379154928,0.4415520131587982,0.4287750124931335,1.0,True,0.552889496088028,0.7843389620671055,False
