task,model_name,capacity_name,dataset_size,resolution,parameter_count,n_runs,n_success,n_failed,convergence_rate,divergence_rate,instability_rate,median_test_rel_l2,iqr_test_rel_l2,seed_cv_test_rel_l2,worst_test_rel_l2,best_test_rel_l2,median_best_epoch,median_runtime_seconds,n_data_seeds,n_train_seeds,data_seeds_observed,train_seeds_observed,is_r48
burgers_operator,deeponet,large,50,16,268033,6,6,0,1.0,0.0,0.0,0.6469058990478516,0.034993499517440796,0.032678072041810315,0.6666008830070496,0.6183838248252869,275.0,0.8513680696487427,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,50,32,272129,6,6,0,1.0,0.0,0.0,0.5960010290145874,0.007372230291366577,0.02066294765868448,0.6215313673019409,0.5869666934013367,300.0,2.0887986421585083,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,50,48,276225,6,6,0,1.0,0.0,0.0,,,,,,375.0,0.8725249767303467,2,3,11;22,101;202;303,True
burgers_operator,deeponet,large,50,64,280321,6,6,0,1.0,0.0,0.0,0.4960073381662369,0.0487098246812821,0.06806302529595032,0.5422948598861694,0.4555641114711761,625.0,2.9983078241348267,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,50,96,288513,6,6,0,1.0,0.0,0.0,0.4700104594230652,0.02690009772777563,0.04980461666129764,0.4965713620185852,0.4331317245960235,500.0,1.3467433452606201,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,50,128,296705,6,6,0,1.0,0.0,0.0,0.4467400014400482,0.04961463063955307,0.07918127879236644,0.5143334865570068,0.4250106811523437,500.0,2.7994384765625,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,50,192,313089,6,6,0,1.0,0.0,0.0,0.42852720618247986,0.021773979067802374,0.03896899722851848,0.453057199716568,0.4093241095542907,675.0,1.6765474081039429,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,50,256,329473,6,6,0,1.0,0.0,0.0,0.43701253831386566,0.04120535403490061,0.06080076791207918,0.4749385714530945,0.4091633260250091,450.0,2.9215009212493896,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,50,384,362241,6,6,0,1.0,0.0,0.0,0.4380471855401993,0.02385465800762171,0.05316828561902562,0.4832898676395416,0.417705625295639,500.0,1.4663362503051758,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,50,512,395009,6,6,0,1.0,0.0,0.0,0.45078548789024353,0.02117604017257696,0.029430067490102775,0.4752104580402374,0.4475137591361999,300.0,0.7803859710693359,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,100,16,268033,6,6,0,1.0,0.0,0.0,0.5910298526287079,0.06962719559669495,0.12090900711752894,0.6010196805000305,0.4385645985603332,725.0,1.586323857307434,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,100,32,272129,6,6,0,1.0,0.0,0.0,0.552889496088028,0.007611855864524841,0.019468567763349695,0.5731417536735535,0.5410318970680237,825.0,3.2692482471466064,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,100,48,276225,6,2,4,0.3333333333333333,0.6666666666666666,0.6666666666666666,,,,,,0.0,0.3864011764526367,2,3,11;22,101;202;303,True
burgers_operator,deeponet,large,100,64,280321,6,6,0,1.0,0.0,0.0,0.4564545601606369,0.018679521977901403,0.0465973985086737,0.4920028746128082,0.4327792823314667,775.0,3.8463432788848877,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,100,96,288513,6,6,0,1.0,0.0,0.0,0.4238628149032593,0.022250175476074163,0.04469474266385858,0.4470803141593933,0.3958512842655182,1000.0,1.9885963201522827,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,100,128,296705,6,6,0,1.0,0.0,0.0,0.3913862854242325,0.024628102779388428,0.04789087998707366,0.4157174229621887,0.3676155209541321,1575.0,5.8437148332595825,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,100,192,313089,6,6,0,1.0,0.0,0.0,0.3873283267021179,0.010060258209705353,0.06415624052508916,0.4436515569686889,0.3729541301727295,1050.0,2.108983278274536,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,100,256,329473,6,6,0,1.0,0.0,0.0,0.379381462931633,0.015215195715427454,0.032507578963137836,0.4019817411899566,0.3691577017307281,1250.0,5.014012336730957,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,100,384,362241,6,6,0,1.0,0.0,0.0,0.3835083544254303,0.014643050730228369,0.03501508714593644,0.4021610617637634,0.3640651404857635,1225.0,2.3068504333496094,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,100,512,395009,6,6,0,1.0,0.0,0.0,0.3883328437805176,0.0031570419669151306,0.022205099208688708,0.402542769908905,0.3756592571735382,1300.0,2.4361366033554077,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,150,32,272129,6,6,0,1.0,0.0,0.0,0.542643129825592,0.02307915687561035,0.02925100283546471,0.5694499611854553,0.5307204127311707,675.0,1.5254771709442139,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,150,64,280321,6,6,0,1.0,0.0,0.0,0.431728720664978,0.007259294390678461,0.04792933946001317,0.4795016646385193,0.4214048683643341,1150.0,2.338603377342224,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,150,128,296705,6,6,0,1.0,0.0,0.0,0.37045285105705256,0.010508537292480469,0.03770634643267709,0.3958021998405456,0.3557876348495483,1375.0,2.5724315643310547,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,150,256,329473,6,6,0,1.0,0.0,0.0,0.35725143551826477,0.011033572256565094,0.03540239099144002,0.364468514919281,0.3314234018325805,1450.0,2.892045021057129,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,200,16,268033,6,6,0,1.0,0.0,0.0,0.37129905819892883,0.1652154177427292,0.264740372384355,0.5775185227394104,0.3258669376373291,2000.0,3.6014705896377563,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,200,32,272129,6,6,0,1.0,0.0,0.0,0.5248576402664185,0.006259351968765259,0.016143775519304425,0.5449030995368958,0.5225492715835571,1275.0,2.5005533695220947,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,200,48,276225,6,0,6,0.0,1.0,1.0,,,,,,,,2,3,11;22,101;202;303,True
burgers_operator,deeponet,large,200,64,280321,6,6,0,1.0,0.0,0.0,0.4188390523195267,0.004723064601421412,0.028350162673239133,0.4429174661636352,0.4066250622272491,1475.0,2.7643457651138306,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,200,96,288513,6,6,0,1.0,0.0,0.0,0.38040515780448914,0.0023947507143021185,0.03300015943086326,0.4106126129627228,0.3773337602615356,1575.0,3.020587205886841,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,200,128,296705,6,6,0,1.0,0.0,0.0,0.3510889559984207,0.0133144930005073,0.0268953502921258,0.3640757799148559,0.3402821123600006,1475.0,3.2867746353149414,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,200,192,313089,6,6,0,1.0,0.0,0.0,0.35038539767265314,0.016251757740974426,0.053439292440664796,0.3846043050289154,0.3302657902240753,1425.0,2.968676209449768,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,200,256,329473,6,6,0,1.0,0.0,0.0,0.3356802761554718,0.0157291442155838,0.05063030539629827,0.3667873740196228,0.3171852827072143,1775.0,3.2870869636535645,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,200,384,362241,6,6,0,1.0,0.0,0.0,0.34661249816417694,0.0193218812346459,0.03992197181838588,0.3607849776744842,0.3254838585853576,1525.0,2.8762669563293457,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,200,512,395009,6,6,0,1.0,0.0,0.0,0.3502299636602402,0.02781073004007334,0.046424544190179634,0.35938760638237,0.3253408074378967,1625.0,3.6932013034820557,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,300,32,272129,6,6,0,1.0,0.0,0.0,0.5128956139087677,0.011151894927024841,0.02229870617605442,0.536884605884552,0.5057754516601562,1850.0,3.882870674133301,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,300,64,280321,6,6,0,1.0,0.0,0.0,0.4050033688545227,0.010672472417354528,0.020903953816904543,0.4171576201915741,0.3944168984889984,2150.0,4.406249523162842,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,300,128,296705,6,6,0,1.0,0.0,0.0,0.3490389287471771,0.006909981369972229,0.03732708641118729,0.3556382060050964,0.3196776211261749,1625.0,3.586874008178711,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,300,256,329473,6,6,0,1.0,0.0,0.0,0.3299502432346344,0.013137310743331854,0.02839648445521592,0.3399190902709961,0.3157873749732971,1775.0,3.623519778251648,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,500,16,268033,6,6,0,1.0,0.0,0.0,0.29178524017333984,0.018093794584274236,0.07998086401182904,0.3011828362941742,0.2411071211099624,2225.0,4.568278074264526,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,500,32,272129,6,6,0,1.0,0.0,0.0,0.5052489936351776,0.0067701116204262335,0.01909588490647566,0.5157312154769897,0.4871701002120971,1925.0,7.5019451379776,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,500,48,276225,6,0,6,0.0,1.0,1.0,,,,,,,,2,3,11;22,101;202;303,True
burgers_operator,deeponet,large,500,64,280321,6,6,0,1.0,0.0,0.0,0.40253618359565735,0.016855634748935644,0.025584521969977642,0.4154137670993805,0.3910872638225555,1925.0,8.226906418800354,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,500,96,288513,6,6,0,1.0,0.0,0.0,0.3497578948736191,0.026867158710956573,0.058471201996001365,0.3902797698974609,0.3379757702350616,2300.0,4.121345520019531,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,500,128,296705,6,6,0,1.0,0.0,0.0,0.3237471878528595,0.010421223938465063,0.06116888781168642,0.3734512627124786,0.3205026388168335,2175.0,7.72264039516449,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,500,192,313089,6,6,0,1.0,0.0,0.0,0.31640975177288055,0.00645762681961054,0.04299703726890917,0.3462298810482025,0.3082880973815918,2250.0,4.4484628438949585,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,500,256,329473,6,6,0,1.0,0.0,0.0,0.3244982212781906,0.007442779839038849,0.034210107186564684,0.33926522731781,0.305698961019516,1825.0,8.049033999443054,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,500,384,362241,6,6,0,1.0,0.0,0.0,0.30866773426532745,0.0071586668491363525,0.024759775703184533,0.3262267410755157,0.3064196407794952,2450.0,4.478886723518372,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,500,512,395009,6,6,0,1.0,0.0,0.0,0.32764947414398193,0.007982954382896368,0.029315823525542108,0.3410131931304931,0.3125880658626556,1900.0,3.345151424407959,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,750,32,272129,6,6,0,1.0,0.0,0.0,0.5064103901386261,0.012336790561676025,0.024065799404458854,0.5228875279426575,0.488211840391159,1700.0,3.832796335220337,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,750,64,280321,6,6,0,1.0,0.0,0.0,0.3960569649934768,0.012957364320755005,0.044421632812837224,0.4350460767745971,0.3860897123813629,2300.0,4.013921022415161,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,750,128,296705,6,6,0,1.0,0.0,0.0,0.3210047483444214,0.010892100632190649,0.03016195681283003,0.3309148252010345,0.3045463263988495,2225.0,4.900965213775635,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,750,256,329473,6,6,0,1.0,0.0,0.0,0.30332358181476593,0.009258843958377838,0.058702585334761165,0.3405905365943908,0.2875653803348541,2550.0,4.579656600952148,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,1000,16,268033,6,6,0,1.0,0.0,0.0,0.2192042544484138,0.02853960916399953,0.11697940996835905,0.2766125202178955,0.206155851483345,2925.0,5.373339414596558,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,1000,32,272129,6,6,0,1.0,0.0,0.0,0.5145923495292664,0.018517762422561646,0.02126103802816249,0.5277774333953857,0.5028367042541504,1350.0,5.689250946044922,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,1000,48,276225,6,0,6,0.0,1.0,1.0,,,,,,,,2,3,11;22,101;202;303,True
burgers_operator,deeponet,large,1000,64,280321,6,6,0,1.0,0.0,0.0,0.3865600675344467,0.017007552087306976,0.032570809125920835,0.4067616760730743,0.3737784922122955,2600.0,10.456550240516664,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,1000,96,288513,6,6,0,1.0,0.0,0.0,0.35254715383052826,0.028801225125789642,0.07245962401441498,0.4053802788257599,0.338359922170639,1975.0,3.688612222671509,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,1000,128,296705,6,6,0,1.0,0.0,0.0,0.3164298832416534,0.023228265345096644,0.044770773620497535,0.335772305727005,0.3021129369735718,2450.0,9.557034611701965,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,1000,192,313089,6,6,0,1.0,0.0,0.0,0.32109442353248596,0.013827197253704071,0.05198723703697604,0.3581728041172027,0.311279833316803,1925.0,3.7303725481033325,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,1000,256,329473,6,6,0,1.0,0.0,0.0,0.3127976059913635,0.011182025074958857,0.026879634371123753,0.3213492631912231,0.2994568049907684,2100.0,9.438344836235046,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,1000,384,362241,6,6,0,1.0,0.0,0.0,0.31924901902675623,0.009370453655719813,0.0450288000041285,0.3265442252159118,0.2873400747776031,1800.0,4.293530702590942,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,1000,512,395009,6,6,0,1.0,0.0,0.0,0.3122325837612152,0.009879693388938848,0.025137070637357962,0.3258075714111328,0.3047973811626434,2350.0,4.740609645843506,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,2000,16,268033,6,6,0,1.0,0.0,0.0,0.21227931976318354,0.022060271352529526,0.12884035100044453,0.2750793993473053,0.1989447772502899,2850.0,5.224262356758118,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,2000,32,272129,6,6,0,1.0,0.0,0.0,0.48497581481933594,0.01598417758941656,0.022256592928473675,0.4942915141582489,0.467861920595169,2500.0,5.720012068748474,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,2000,48,276225,6,0,6,0.0,1.0,1.0,,,,,,,,2,3,11;22,101;202;303,True
burgers_operator,deeponet,large,2000,64,280321,6,6,0,1.0,0.0,0.0,0.382561132311821,0.005674555897712652,0.02270768060606093,0.4013381004333496,0.3774242401123047,2775.0,5.447840452194214,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,2000,96,288513,6,6,0,1.0,0.0,0.0,0.35066126286983484,0.0069212764501571655,0.035583711396748575,0.3752557933330536,0.338345468044281,2000.0,4.226581335067749,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,2000,128,296705,6,6,0,1.0,0.0,0.0,0.3172315806150436,0.016708143055438995,0.04304920384397066,0.3370818495750427,0.2997537553310394,2400.0,4.861059904098511,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,2000,192,313089,6,6,0,1.0,0.0,0.0,0.3115400075912475,0.007675528526306152,0.06235597886581843,0.353016585111618,0.2958838641643524,2300.0,4.228414177894592,2,3,11;22,101;202;303,False
burgers_operator,deeponet,large,2000,256,329473,6,6,0,1.0,0.0,0.0,0.3112691640853882,0.009427756071090698,0.03906574655062856,0.3285728096961975,0.292179673910141,2250.0,5.355203151702881,2,3,11;22,101;202;303,False
