task,model_name,capacity_name,dataset_size,r_low,r_high,ratio
burgers_operator,deeponet,large,50,16,32,0.9213102398537585
burgers_operator,deeponet,large,50,32,64,0.8322256405938132
burgers_operator,deeponet,large,50,64,128,0.9006721616088738
burgers_operator,deeponet,large,50,96,192,0.911739723214871
burgers_operator,deeponet,large,50,128,256,0.9782256724384955
burgers_operator,deeponet,large,50,192,384,1.0222155774951325
burgers_operator,deeponet,large,50,256,512,1.0315161428308632
burgers_operator,deeponet,large,100,16,32,0.9354679693909808
burgers_operator,deeponet,large,100,32,64,0.8255800903983221
burgers_operator,deeponet,large,100,64,128,0.8574485164229592
burgers_operator,deeponet,large,100,96,192,0.9138058661515759
burgers_operator,deeponet,large,100,128,256,0.9693274319012298
burgers_operator,deeponet,large,100,192,384,0.9901376377265961
burgers_operator,deeponet,large,100,256,512,1.0235946711252406
burgers_operator,deeponet,large,150,32,64,0.7956034029284359
burgers_operator,deeponet,large,150,64,128,0.8580685817854687
burgers_operator,deeponet,large,150,128,256,0.9643641140805941
burgers_operator,deeponet,large,200,16,32,1.4135711596263152
burgers_operator,deeponet,large,200,32,64,0.7980050592517304
burgers_operator,deeponet,large,200,64,128,0.8382431247852687
burgers_operator,deeponet,large,200,96,192,0.9210847710238861
burgers_operator,deeponet,large,200,128,256,0.9561117500858722
burgers_operator,deeponet,large,200,192,384,0.9892321439947648
burgers_operator,deeponet,large,200,256,512,1.043343885650373
burgers_operator,deeponet,large,300,32,64,0.7896409286248322
burgers_operator,deeponet,large,300,64,128,0.8618173466911382
burgers_operator,deeponet,large,300,128,256,0.9453107262818543
burgers_operator,deeponet,large,500,16,32,1.7315783119633679
burgers_operator,deeponet,large,500,32,64,0.7967085311728783
burgers_operator,deeponet,large,500,64,128,0.8042685379510122
burgers_operator,deeponet,large,500,96,192,0.9046536373030591
burgers_operator,deeponet,large,500,128,256,1.0023198145142576
burgers_operator,deeponet,large,500,192,384,0.9755316722567061
burgers_operator,deeponet,large,500,256,512,1.0097111560531167
burgers_operator,deeponet,large,750,32,64,0.7820869648528719
burgers_operator,deeponet,large,750,64,128,0.8105014599344527
burgers_operator,deeponet,large,750,128,256,0.9449192991043094
burgers_operator,deeponet,large,1000,16,32,2.347547271945707
burgers_operator,deeponet,large,1000,32,64,0.7511966858583503
burgers_operator,deeponet,large,1000,64,128,0.8185788181896363
burgers_operator,deeponet,large,1000,96,192,0.9107843306737861
burgers_operator,deeponet,large,1000,128,256,0.9885210675645449
burgers_operator,deeponet,large,1000,192,384,0.9942527668795126
burgers_operator,deeponet,large,1000,256,512,0.9981936491222253
burgers_operator,deeponet,large,2000,16,32,2.284611686905581
burgers_operator,deeponet,large,2000,32,64,0.7888251756519722
burgers_operator,deeponet,large,2000,64,128,0.8292310792212731
burgers_operator,deeponet,large,2000,96,192,0.8884357657346683
burgers_operator,deeponet,large,2000,128,256,0.9812048456269846
burgers_operator,deeponet,large,2000,192,384,1.0349047519559866
burgers_operator,deeponet,large,2000,256,512,1.0114634935650093
burgers_operator,deeponet,large,3000,32,64,0.7875687446652155
burgers_operator,deeponet,large,3000,64,128,0.8269040043822329
burgers_operator,deeponet,large,3000,128,256,0.9768308725078714
burgers_operator,deeponet,large,5000,16,32,2.1237862416454387
burgers_operator,deeponet,large,5000,32,64,0.8130063135887587
burgers_operator,deeponet,large,5000,64,128,0.8204922152150416
burgers_operator,deeponet,large,5000,96,192,0.9994732314831037
burgers_operator,deeponet,large,5000,128,256,0.9506290281556657
burgers_operator,deeponet,large,5000,192,384,0.9303075077134186
burgers_operator,deeponet,large,5000,256,512,1.0701415242778296
burgers_operator,deeponet,med-large,50,16,32,0.9242491418381669
burgers_operator,deeponet,med-large,50,32,64,0.8399104121886388
burgers_operator,deeponet,med-large,50,64,128,0.9041843905636766
burgers_operator,deeponet,med-large,50,96,192,0.9640491122548411
burgers_operator,deeponet,med-large,50,128,256,0.9718682239869638
burgers_operator,deeponet,med-large,50,192,384,1.0134480019257162
burgers_operator,deeponet,med-large,50,256,512,1.0453336697465865
burgers_operator,deeponet,med-large,100,16,32,1.0505863337173413
burgers_operator,deeponet,med-large,100,32,64,0.8150325181269182
burgers_operator,deeponet,med-large,100,64,128,0.8961793465292925
burgers_operator,deeponet,med-large,100,96,192,0.9380322089161686
burgers_operator,deeponet,med-large,100,128,256,0.9827494601588213
burgers_operator,deeponet,med-large,100,192,384,1.0112318810234133
burgers_operator,deeponet,med-large,100,256,512,1.016960588689646
burgers_operator,deeponet,med-large,150,32,64,0.7910537402886382
burgers_operator,deeponet,med-large,150,64,128,0.8750494138275965
burgers_operator,deeponet,med-large,150,128,256,0.9726680785969558
burgers_operator,deeponet,med-large,200,16,32,1.1166789533320316
burgers_operator,deeponet,med-large,200,32,64,0.8038789788389717
burgers_operator,deeponet,med-large,200,64,128,0.8622569998956425
burgers_operator,deeponet,med-large,200,96,192,0.9182962749515662
burgers_operator,deeponet,med-large,200,128,256,0.9887487082399145
burgers_operator,deeponet,med-large,200,192,384,0.997780141225818
burgers_operator,deeponet,med-large,200,256,512,0.9961018645805717
burgers_operator,deeponet,med-large,300,32,64,0.8039449128647184
burgers_operator,deeponet,med-large,300,64,128,0.8337328043716831
burgers_operator,deeponet,med-large,300,128,256,0.9644227493703365
burgers_operator,deeponet,med-large,500,16,32,1.8551741408819542
burgers_operator,deeponet,med-large,500,32,64,0.7549207868420429
burgers_operator,deeponet,med-large,500,64,128,0.8649497613487619
burgers_operator,deeponet,med-large,500,96,192,0.9166010034661157
burgers_operator,deeponet,med-large,500,128,256,0.9446484751566337
burgers_operator,deeponet,med-large,500,192,384,1.0186574288157688
burgers_operator,deeponet,med-large,500,256,512,1.037874374796891
burgers_operator,deeponet,med-large,750,32,64,0.8137747695229873
burgers_operator,deeponet,med-large,750,64,128,0.856151445914056
burgers_operator,deeponet,med-large,750,128,256,0.9502786005541484
burgers_operator,deeponet,med-large,1000,16,32,2.184180693399306
burgers_operator,deeponet,med-large,1000,32,64,0.7887803218468714
burgers_operator,deeponet,med-large,1000,64,128,0.8541280156796386
burgers_operator,deeponet,med-large,1000,96,192,0.933305303408011
burgers_operator,deeponet,med-large,1000,128,256,0.9896352995415649
burgers_operator,deeponet,med-large,1000,192,384,0.9967285097818567
burgers_operator,deeponet,med-large,1000,256,512,0.9675974390340976
burgers_operator,deeponet,med-large,2000,16,32,2.430529990890131
burgers_operator,deeponet,med-large,2000,32,64,0.8101205845483009
burgers_operator,deeponet,med-large,2000,64,128,0.8516106280351169
burgers_operator,deeponet,med-large,2000,96,192,0.9157768335488637
burgers_operator,deeponet,med-large,2000,128,256,0.9477588156185109
burgers_operator,deeponet,med-large,2000,192,384,0.9610152144120933
burgers_operator,deeponet,med-large,2000,256,512,1.0650534491623538
burgers_operator,deeponet,med-large,3000,32,64,0.795219638281858
burgers_operator,deeponet,med-large,3000,64,128,0.8148361646550354
burgers_operator,deeponet,med-large,3000,128,256,1.0156356261073494
burgers_operator,deeponet,med-large,5000,16,32,2.3758871697234056
burgers_operator,deeponet,med-large,5000,32,64,0.8085975922061966
burgers_operator,deeponet,med-large,5000,64,128,0.8648298432369809
burgers_operator,deeponet,med-large,5000,96,192,0.8755177966264167
burgers_operator,deeponet,med-large,5000,128,256,0.9828678053984021
burgers_operator,deeponet,med-large,5000,192,384,1.0354464391410083
burgers_operator,deeponet,med-large,5000,256,512,0.9818288565871943
burgers_operator,deeponet,medium,50,16,32,0.9284128316710983
burgers_operator,deeponet,medium,50,32,64,0.8442647506817302
burgers_operator,deeponet,medium,50,64,128,0.9219374128887884
burgers_operator,deeponet,medium,50,96,192,0.949923818997846
burgers_operator,deeponet,medium,50,128,256,1.004879455637472
burgers_operator,deeponet,medium,50,192,384,1.0113903586174875
burgers_operator,deeponet,medium,50,256,512,1.036247879229547
burgers_operator,deeponet,medium,100,16,32,0.994563920848665
burgers_operator,deeponet,medium,100,32,64,0.8231876212578914
burgers_operator,deeponet,medium,100,64,128,0.8917143588443183
burgers_operator,deeponet,medium,100,96,192,0.9486544416399487
burgers_operator,deeponet,medium,100,128,256,0.9994131981720789
burgers_operator,deeponet,medium,100,192,384,1.0075308702939105
burgers_operator,deeponet,medium,100,256,512,1.027265914813281
burgers_operator,deeponet,medium,150,32,64,0.801692317313891
burgers_operator,deeponet,medium,150,64,128,0.884111639631563
burgers_operator,deeponet,medium,150,128,256,0.9585736929678268
burgers_operator,deeponet,medium,200,16,32,1.1894413634160188
burgers_operator,deeponet,medium,200,32,64,0.7939101187680331
burgers_operator,deeponet,medium,200,64,128,0.8650037389145253
burgers_operator,deeponet,medium,200,96,192,0.9197485903074489
burgers_operator,deeponet,medium,200,128,256,1.0005341454950445
burgers_operator,deeponet,medium,200,192,384,1.0064686216311658
burgers_operator,deeponet,medium,200,256,512,0.994929466144547
burgers_operator,deeponet,medium,300,32,64,0.8000058898663283
burgers_operator,deeponet,medium,300,64,128,0.861001245007566
burgers_operator,deeponet,medium,300,128,256,0.964617846912395
burgers_operator,deeponet,medium,500,16,32,1.6661336357446181
burgers_operator,deeponet,medium,500,32,64,0.7973907634511549
burgers_operator,deeponet,medium,500,64,128,0.8203124201631846
burgers_operator,deeponet,medium,500,96,192,0.9493627605457547
burgers_operator,deeponet,medium,500,128,256,1.0363201359300578
burgers_operator,deeponet,medium,500,192,384,0.992801891666506
burgers_operator,deeponet,medium,500,256,512,0.9925502539303672
burgers_operator,deeponet,medium,750,32,64,0.7948117418620896
burgers_operator,deeponet,medium,750,64,128,0.8453832442241287
burgers_operator,deeponet,medium,750,128,256,1.019042249982459
burgers_operator,deeponet,medium,1000,16,32,2.2185168868520053
burgers_operator,deeponet,medium,1000,32,64,0.8341121904539575
burgers_operator,deeponet,medium,1000,64,128,0.8344622910120647
burgers_operator,deeponet,medium,1000,96,192,0.9963701775056206
burgers_operator,deeponet,medium,1000,128,256,0.9401484183042174
burgers_operator,deeponet,medium,1000,192,384,0.955857844574581
burgers_operator,deeponet,medium,1000,256,512,1.0655272109966227
burgers_operator,deeponet,medium,2000,16,32,2.1687999618952207
burgers_operator,deeponet,medium,2000,32,64,0.7923958030952539
burgers_operator,deeponet,medium,2000,64,128,0.845893038938735
burgers_operator,deeponet,medium,2000,96,192,0.8686579886225351
burgers_operator,deeponet,medium,2000,128,256,0.9987765888753304
burgers_operator,deeponet,medium,2000,192,384,0.9845621415821377
burgers_operator,deeponet,medium,2000,256,512,1.0486518651240708
burgers_operator,deeponet,medium,3000,32,64,0.7954006033718387
